sample_idx,crystal_idx,n_crystals,cx,cz,x_center,z_center,dist_center,dist_corner_1,dist_corner_2,dist_corner_3,dist_corner_4,mse_psi,relL2_psi
116,2,2,1.913287e-01,-3.818949e-02,0.000000e+00,0.000000e+00,1.951028e-01,1.531125e+00,1.256594e+00,1.580222e+00,1.315974e+00,4.893174e-25,7.898898e-02
117,1,2,5.669856e-01,6.208203e-01,0.000000e+00,0.000000e+00,8.407678e-01,2.254441e+00,1.677665e+00,1.612210e+00,5.755681e-01,3.696025e-25,1.330462e-01
117,2,2,-3.394081e-01,-1.079480e-01,0.000000e+00,0.000000e+00,3.561609e-01,1.110017e+00,1.609276e+00,1.289934e+00,1.738264e+00,3.696025e-25,1.330462e-01
118,1,2,1.514871e-01,7.958369e-01,0.000000e+00,0.000000e+00,8.101263e-01,2.133296e+00,1.986203e+00,1.169447e+00,8.727294e-01,3.773040e-25,8.193885e-02
118,2,2,-1.630537e-01,-2.129659e-01,0.000000e+00,0.000000e+00,2.682182e-01,1.148870e+00,1.404321e+00,1.473691e+00,1.680470e+00,3.773040e-25,8.193885e-02
119,1,2,-7.393620e-01,1.740793e-01,0.000000e+00,0.000000e+00,7.595787e-01,1.202661e+00,2.098533e+00,8.660699e-01,1.925494e+00,1.491031e-23,1.259590e-01
119,2,2,-6.060599e-01,3.872778e-01,0.000000e+00,0.000000e+00,7.192306e-01,1.442126e+00,2.122255e+00,7.284348e-01,1.718970e+00,1.491031e-23,1.259590e-01
120,1,2,6.380983e-02,-3.965448e-01,0.000000e+00,0.000000e+00,4.016460e-01,1.223049e+00,1.113827e+00,1.755571e+00,1.681306e+00,4.143595e-25,7.593583e-02
120,2,2,6.110357e-01,7.596784e-01,0.000000e+00,0.000000e+00,9.749235e-01,2.385771e+00,1.802155e+00,1.628862e+00,4.572173e-01,4.143595e-25,7.593583e-02
121,1,2,-3.404734e-01,3.176464e-01,0.000000e+00,0.000000e+00,4.656408e-01,1.473488e+00,1.879644e+00,9.489899e-01,1.504153e+00,3.069056e-25,9.541466e-02
121,2,2,4.488685e-01,-2.158883e-01,0.000000e+00,0.000000e+00,4.980871e-01,1.647438e+00,9.584242e-01,1.891456e+00,1.334965e+00,3.069056e-25,9.541466e-02
